Current (A),Voltage (V),Electron current (pA)
-1.627E-12,15.609,1.627
-1.644E-12,15.632,1.644
-1.659E-12,15.663,1.659
-1.677E-12,15.696,1.677
-1.695E-12,15.715,1.695
-1.723E-12,15.736,1.723
-1.743E-12,15.753,1.743
-1.771E-12,15.769,1.771
-1.792E-12,15.787,1.792
-1.810E-12,15.793,1.810
-1.828E-12,15.809,1.828
-1.841E-12,15.820,1.841
-1.854E-12,15.837,1.854
-1.867E-12,15.851,1.867
-1.883E-12,15.859,1.883
-1.890E-12,15.875,1.890
-1.904E-12,15.890,1.904
-1.917E-12,15.905,1.917
-1.930E-12,15.911,1.930
-1.944E-12,15.914,1.944
-1.954E-12,15.926,1.954
-1.960E-12,15.948,1.960
-1.974E-12,15.974,1.974
-1.990E-12,15.997,1.990
-2.002E-12,16.012,2.002
-2.027E-12,16.025,2.027
-2.043E-12,16.036,2.043
-2.063E-12,16.046,2.063
-2.077E-12,16.053,2.077
-2.090E-12,16.069,2.090
-2.103E-12,16.091,2.103
-2.113E-12,16.101,2.113
-2.130E-12,16.106,2.130
-2.139E-12,16.114,2.139
-2.153E-12,16.129,2.153
-2.163E-12,16.137,2.163
-2.172E-12,16.143,2.172
-2.181E-12,16.153,2.181
-2.185E-12,16.161,2.185
-2.196E-12,16.166,2.196
-2.203E-12,16.190,2.203
-2.209E-12,16.221,2.209
-2.223E-12,16.232,2.223
-2.239E-12,16.236,2.239
-2.246E-12,16.238,2.246
-2.256E-12,16.237,2.256
-2.260E-12,16.237,2.260
-2.262E-12,16.237,2.262
-2.264E-12,16.237,2.264
-2.261E-12,16.237,2.261
-2.259E-12,16.234,2.259
-2.258E-12,16.237,2.258
-2.260E-12,16.236,2.260
-2.254E-12,16.238,2.254
-2.257E-12,16.242,2.257
-2.258E-12,16.236,2.258
-2.258E-12,16.235,2.258
-2.253E-12,16.236,2.253
-2.254E-12,16.234,2.254
-2.251E-12,16.234,2.251
-2.256E-12,16.235,2.256
-2.248E-12,16.235,2.248
-2.249E-12,16.232,2.249
-2.248E-12,16.235,2.248
-2.243E-12,16.234,2.243
-2.246E-12,16.235,2.246
-2.245E-12,16.247,2.245
-2.248E-12,16.264,2.248
-2.252E-12,16.282,2.252
-2.261E-12,16.298,2.261
-2.269E-12,16.315,2.269
-2.283E-12,16.330,2.283
-2.299E-12,16.358,2.299
-2.314E-12,16.380,2.314
-2.336E-12,16.388,2.336
-2.355E-12,16.407,2.355
-2.369E-12,16.407,2.369
-2.387E-12,16.428,2.387
-2.401E-12,16.453,2.401
-2.417E-12,16.463,2.417
-2.429E-12,16.484,2.429
-2.450E-12,16.498,2.450
-2.466E-12,16.513,2.466
-2.483E-12,16.524,2.483
-2.497E-12,16.548,2.497
-2.516E-12,16.573,2.516
-2.537E-12,16.615,2.537
-2.564E-12,16.633,2.564
-2.591E-12,16.642,2.591
-2.614E-12,16.656,2.614
-2.635E-12,16.672,2.635
-2.656E-12,16.684,2.656
-2.675E-12,16.701,2.675
-2.694E-12,16.717,2.694
-2.708E-12,16.719,2.708
-2.721E-12,16.727,2.721
