"Current (A) Run #33","Voltage (V) Run #33","Electron current (pA) Run #33"
-4.884E-11,27.582,48.837
-4.901E-11,27.638,49.015
-4.920E-11,27.677,49.201
-4.940E-11,27.697,49.397
-4.960E-11,27.718,49.604
-4.981E-11,27.771,49.813
-5.003E-11,27.823,50.025
-5.027E-11,27.870,50.270
-5.054E-11,27.926,50.540
-5.082E-11,27.953,50.817
-5.110E-11,27.963,51.102
-5.138E-11,27.973,51.376
-5.164E-11,27.995,51.636
-5.188E-11,28.041,51.884
-5.214E-11,28.089,52.144
-5.244E-11,28.153,52.441
-5.279E-11,28.213,52.786
-5.316E-11,28.284,53.158
-5.359E-11,28.342,53.589
-5.406E-11,28.398,54.063
-5.459E-11,28.438,54.589
-5.511E-11,28.481,55.115
-5.559E-11,28.486,55.595
-5.603E-11,28.502,56.035
-5.646E-11,28.524,56.456
-5.685E-11,28.535,56.850
-5.722E-11,28.540,57.224
-5.756E-11,28.561,57.557
-5.786E-11,28.618,57.863
-5.824E-11,28.684,58.240
-5.870E-11,28.719,58.701
-5.921E-11,28.736,59.211
-5.972E-11,28.745,59.718
-6.019E-11,28.781,60.186
-6.061E-11,28.812,60.613
-6.103E-11,28.846,61.028
-6.147E-11,28.911,61.470
-6.199E-11,28.975,61.987
-6.261E-11,29.030,62.614
-6.329E-11,29.087,63.294
-6.404E-11,29.166,64.041
-6.495E-11,29.242,64.945
-6.601E-11,29.325,66.009
-6.702E-11,29.410,67.020
-6.812E-11,29.473,68.123
-6.925E-11,29.529,69.255
-7.035E-11,29.549,70.354
-7.131E-11,29.566,71.308
-7.212E-11,29.561,72.123
-7.273E-11,29.567,72.727
-7.318E-11,29.570,73.180
-7.351E-11,29.553,73.515
-7.379E-11,29.573,73.789
-7.403E-11,29.580,74.029
-7.426E-11,29.584,74.257
-7.447E-11,29.605,74.470
-7.472E-11,29.634,74.718
-7.503E-11,29.668,75.028
-7.542E-11,29.742,75.425
-7.602E-11,29.841,76.020
-7.686E-11,29.949,76.860
-7.800E-11,30.024,77.996
-7.931E-11,30.109,79.311
-8.070E-11,30.181,80.703
-8.209E-11,30.222,82.087
-8.334E-11,30.245,83.340
-8.441E-11,30.301,84.410
-8.533E-11,30.336,85.330
-8.620E-11,30.393,86.201
-8.706E-11,30.488,87.056
-8.808E-11,30.554,88.078
-8.921E-11,30.602,89.208
-9.037E-11,30.644,90.372
-9.146E-11,30.699,91.460
-9.248E-11,30.746,92.478
-9.344E-11,30.778,93.441
-9.431E-11,30.847,94.305
-9.518E-11,30.897,95.178
-9.608E-11,30.942,96.082
-9.698E-11,31.028,96.981
-9.798E-11,31.088,97.978
-9.903E-11,31.178,99.028
-1.002E-10,31.330,100.195
-1.016E-10,31.474,101.626
-1.033E-10,31.595,103.343
-1.052E-10,31.687,105.217
-1.071E-10,31.768,107.079
-1.088E-10,31.828,108.788
-1.103E-10,31.883,110.271
-1.115E-10,31.936,111.526
-1.126E-10,31.995,112.575
-1.135E-10,32.041,113.523
-1.144E-10,32.091,114.355
-1.152E-10,32.152,115.168
-1.159E-10,32.198,115.938
-1.167E-10,32.245,116.676
-1.174E-10,32.291,117.407
-1.181E-10,32.333,118.072
-1.187E-10,32.371,118.682
-1.193E-10,32.440,119.257
-1.199E-10,32.536,119.862
-1.206E-10,32.617,120.582
-1.214E-10,32.699,121.396
-1.222E-10,32.780,122.246
-1.231E-10,32.849,123.127
-1.239E-10,32.922,123.941
-1.247E-10,32.978,124.718
-1.254E-10,33.041,125.407
-1.260E-10,33.113,126.034
-1.267E-10,33.194,126.652
-1.272E-10,33.286,127.238
-1.278E-10,33.354,127.816
-1.284E-10,33.427,128.385
-1.289E-10,33.506,128.940
-1.294E-10,33.581,129.436
-1.299E-10,33.659,129.896
-1.303E-10,33.707,130.332
-1.307E-10,33.720,130.724
-1.310E-10,33.727,131.029
-1.313E-10,33.730,131.267
-1.315E-10,33.731,131.453
-1.316E-10,33.730,131.599
-1.317E-10,33.727,131.708
-1.318E-10,33.730,131.805
-1.319E-10,33.729,131.886
-1.320E-10,33.751,131.966
-1.320E-10,33.844,132.038
-1.321E-10,33.929,132.139
-1.323E-10,34.032,132.265
-1.324E-10,34.100,132.399
-1.325E-10,34.205,132.522
-1.326E-10,34.314,132.618
-1.327E-10,34.404,132.663
-1.326E-10,34.476,132.644
-1.326E-10,34.543,132.588
-1.325E-10,34.618,132.503
-1.324E-10,34.716,132.382
-1.322E-10,34.772,132.207
-1.320E-10,34.799,132.022
-1.319E-10,34.827,131.854
-1.317E-10,34.871,131.738
-1.316E-10,34.927,131.648
-1.315E-10,35.015,131.540
-1.314E-10,35.063,131.352
-1.311E-10,35.102,131.103
-1.309E-10,35.129,130.860
-1.307E-10,35.149,130.662
-1.305E-10,35.202,130.522
-1.304E-10,35.285,130.366
-1.301E-10,35.337,130.132
-1.298E-10,35.406,129.833
-1.295E-10,35.467,129.462
-1.290E-10,35.525,129.039
-1.286E-10,35.595,128.582
-1.281E-10,35.632,128.101
-1.277E-10,35.683,127.657
-1.272E-10,35.743,127.222
-1.268E-10,35.809,126.764
-1.262E-10,35.857,126.247
-1.257E-10,35.928,125.723
-1.252E-10,36.020,125.166
-1.245E-10,36.144,124.451
-1.235E-10,36.277,123.506
-1.222E-10,36.396,122.238
-1.207E-10,36.470,120.740
-1.193E-10,36.506,119.252
-1.180E-10,36.547,117.986
-1.170E-10,36.619,117.001
-1.162E-10,36.688,116.162
-1.153E-10,36.767,115.333
-1.144E-10,36.832,114.410
-1.135E-10,36.908,113.464
-1.124E-10,36.992,112.449
-1.114E-10,37.085,111.386
-1.102E-10,37.145,110.210
-1.090E-10,37.227,109.044
-1.079E-10,37.301,107.896
-1.067E-10,37.344,106.748
-1.057E-10,37.398,105.682
-1.047E-10,37.431,104.738
-1.040E-10,37.452,103.984
-1.034E-10,37.511,103.416
-1.029E-10,37.585,102.886
-1.023E-10,37.635,102.286
-1.016E-10,37.692,101.574
-1.008E-10,37.733,100.816
-1.001E-10,37.778,100.117
-9.945E-11,37.855,99.453
-9.874E-11,37.938,98.743
-9.796E-11,37.990,97.960
-9.712E-11,38.042,97.124
-9.634E-11,38.086,96.337
-9.566E-11,38.117,95.658
-9.508E-11,38.153,95.081
-9.464E-11,38.201,94.642
-9.426E-11,38.271,94.261
-9.385E-11,38.355,93.852
-9.332E-11,38.464,93.321
-9.268E-11,38.521,92.677
-9.204E-11,38.543,92.036
-9.153E-11,38.552,91.534
-9.122E-11,38.561,91.222
-9.113E-11,38.558,91.134
-9.122E-11,38.558,91.220
-9.142E-11,38.560,91.418
-9.167E-11,38.610,91.669
-9.185E-11,38.724,91.854
-9.191E-11,38.836,91.914
-9.187E-11,38.962,91.871
-9.181E-11,39.085,91.813
-9.188E-11,39.216,91.880
-9.217E-11,39.329,92.171
-9.276E-11,39.397,92.757
-9.360E-11,39.494,93.600
-9.466E-11,39.594,94.664
-9.603E-11,39.686,96.034
-9.766E-11,39.771,97.657
-9.949E-11,39.833,99.495
-1.015E-10,39.899,101.476
-1.035E-10,39.947,103.512
-1.055E-10,39.995,105.480
-1.074E-10,40.053,107.375
-1.093E-10,40.134,109.280
-1.114E-10,40.209,111.377
-1.137E-10,40.282,113.733
-1.163E-10,40.344,116.308
-1.189E-10,40.400,118.949
-1.216E-10,40.452,121.571
-1.241E-10,40.509,124.124
-1.266E-10,40.573,126.614
-1.291E-10,40.622,129.145
-1.317E-10,40.669,131.678
-1.342E-10,40.717,134.174
-1.366E-10,40.770,136.603
-1.390E-10,40.823,139.011
-1.415E-10,40.891,141.453
-1.440E-10,40.936,144.000
-1.466E-10,40.989,146.593
-1.492E-10,41.041,149.196
-1.518E-10,41.106,151.820
-1.545E-10,41.170,154.500
-1.573E-10,41.230,157.300
-1.602E-10,41.300,160.157
-1.631E-10,41.375,163.126
-1.662E-10,41.430,166.244
-1.694E-10,41.469,169.351
-1.723E-10,41.525,172.254
-1.750E-10,41.596,174.993
-1.778E-10,41.680,177.798
-1.808E-10,41.748,180.825
-1.841E-10,41.816,184.076
-1.873E-10,41.888,187.321
-1.906E-10,41.954,190.642
-1.940E-10,42.026,193.954
-1.972E-10,42.095,197.179
-2.003E-10,42.176,200.335
-2.035E-10,42.266,203.515
-2.069E-10,42.352,206.858
-2.104E-10,42.442,210.356
-2.139E-10,42.528,213.938
-2.175E-10,42.607,217.499
-2.210E-10,42.685,220.972
-2.243E-10,42.764,224.326
-2.276E-10,42.829,227.568
-2.305E-10,42.879,230.536
-2.332E-10,42.939,233.176
-2.355E-10,43.005,235.539
-2.378E-10,43.068,237.758
-2.399E-10,43.134,239.912
-2.420E-10,43.200,242.040
-2.442E-10,43.263,244.160
-2.462E-10,43.308,246.206
-2.481E-10,43.339,248.098
-2.497E-10,43.367,249.688
-2.509E-10,43.398,250.936
-2.520E-10,43.448,251.967
-2.529E-10,43.469,252.865
-2.537E-10,43.490,253.743
-2.545E-10,43.531,254.532
-2.553E-10,43.568,255.311
-2.561E-10,43.613,256.147
-2.570E-10,43.675,257.040
-2.581E-10,43.760,258.121
-2.594E-10,43.848,259.429
-2.610E-10,43.944,260.951
-2.626E-10,43.983,262.632
-2.642E-10,43.990,264.212
-2.654E-10,43.997,265.449
-2.662E-10,43.998,266.237
-2.666E-10,44.000,266.648
-2.668E-10,44.000,266.814
-2.669E-10,44.038,266.857
-2.670E-10,44.137,266.992
-2.675E-10,44.213,267.486
-2.683E-10,44.299,268.302
-2.694E-10,44.390,269.356
-2.705E-10,44.499,270.514
-2.717E-10,44.635,271.704
-2.728E-10,44.775,272.815
-2.738E-10,44.852,273.834
-2.746E-10,44.902,274.629
-2.752E-10,44.948,275.224
-2.756E-10,44.983,275.587
-2.758E-10,45.012,275.793
-2.759E-10,45.044,275.904
-2.760E-10,45.097,275.960
-2.760E-10,45.131,275.966
-2.759E-10,45.157,275.945
-2.759E-10,45.194,275.902
-2.758E-10,45.262,275.835
-2.757E-10,45.313,275.705
-2.755E-10,45.375,275.519
-2.753E-10,45.441,275.251
-2.749E-10,45.485,274.858
-2.744E-10,45.498,274.436
-2.741E-10,45.520,274.079
-2.738E-10,45.529,273.815
-2.736E-10,45.561,273.609
-2.734E-10,45.562,273.447
-2.733E-10,45.590,273.335
-2.732E-10,45.626,273.222
-2.731E-10,45.664,273.065
-2.728E-10,45.680,272.838
-2.726E-10,45.692,272.587
-2.724E-10,45.705,272.373
-2.722E-10,45.713,272.217
-2.721E-10,45.751,272.125
-2.720E-10,45.795,271.992
-2.717E-10,45.833,271.727
-2.713E-10,45.847,271.340
-2.709E-10,45.858,270.941
-2.706E-10,45.890,270.621
-2.703E-10,45.933,270.344
-2.700E-10,45.956,269.996
-2.696E-10,45.967,269.605
-2.692E-10,46.007,269.244
-2.689E-10,46.039,268.866
-2.684E-10,46.070,268.440
-2.680E-10,46.087,267.953
-2.675E-10,46.126,267.489
-2.670E-10,46.178,266.985
-2.664E-10,46.199,266.363
-2.657E-10,46.221,265.697
-2.650E-10,46.255,265.046
-2.644E-10,46.301,264.413
-2.637E-10,46.366,263.708
-2.627E-10,46.434,262.733
-2.615E-10,46.499,261.456
-2.599E-10,46.569,259.912
-2.581E-10,46.642,258.124
-2.562E-10,46.688,256.160
-2.542E-10,46.725,254.223
-2.525E-10,46.758,252.480
-2.509E-10,46.846,250.918
